"","oz1802-1","oz1802-4","oz1802-7","oz1802-10","oz1802-13","oz1802-19","oz1802-21","oz1802-22","oz1802-23","oz1802-24"
"Seq1",9317009,53902267,365722878,760290487,4731258033,516825697,17008224,16541447,21457592,13933549
"Seq2",540872184,631040702,721927498,648537435,401830268,566249,1296592906,1683073625,1485430175,1476211609
"Seq3",500674928,447573419,553636628,408156452,234261705,709940,761214272,1006397254,1041440058,1183783259
"Seq4",236818415,261884852,296651202,193687301,146209674,318680,529790099,617798359,637628810,639538425
"Seq5",77481882,79233726,95694888,71484591,39952154,0,157684792,205305380,177707382,192186329
"Seq6",55919992,49276550,72874683,44876462,48486641,425802,128328231,167952545,154587471,144287554
"Seq7",53718987,47374550,60522958,50132302,39173842,389736,98943490,136673039,128742681,124238241
"Seq8",52386265,49554122,57991475,56017060,32181702,0,115955250,128097195,129839145,145391230
"Seq9",49927301,56095322,52606742,49206807,26760217,35571,103574248,147105574,129857836,133715790
"Seq10",47042020,48988776,55773886,59725996,56629159,71118,77311762,121970730,95194142,88015322
"Seq11",37951152,32116653,36762255,43635810,46536757,212693,114411257,153226856,107271424,101383815
"Seq12",47049714,49294667,55146525,36506242,22497107,141813,85552406,102357003,98478614,96936614
"Seq13",37721809,37302971,50072545,65917711,52751574,992142,60295969,94391133,111111805,93015404
"Seq14",26850248,26674524,41215168,32485438,46151546,141728,39692939,69876268,79225083,55695286
"Seq15",29295671,22873338,29157242,34338884,14735455,0,47919505,69865951,96821318,59610569
"Seq16",25296493,20684780,29145677,21358652,23273026,0,53596897,82744018,51164236,54033433
"Seq17",28632758,31861211,38036535,39909470,37619466,0,20098019,42282592,32458463,26184937
"Seq18",18866644,21228171,28204587,30028273,15507402,0,43294189,64982684,44559424,41768376
"Seq19",24192628,28316025,25349969,19494164,10862384,35444,25774621,51478462,45661864,55138282
"Seq20",14876792,22053396,26301956,24136660,30247000,389928,30924901,63742809,51154261,44567918
"Seq21",22188945,28585075,23446570,30634570,31812817,0,22157922,47807026,39069043,36767775
"Seq22",15310729,17969099,22502775,16708377,19781769,106270,36088629,45356008,50609201,52364107
"Seq23",22418161,23421339,25987690,11141870,8142543,0,25773290,36776049,44565004,44560963
