,oz1802stdpurcelineV3V4,oz1802stdpurcelineV4V5,oz1802terTube1,oz1802terTube4,oz1802terTube7,oz1802terTube10,oz1802terTube13,oz1802terTube19,oz1802terTube21,oz1802terTube22,oz1802terTube23,oz1802terTube24,
Seq1,456,0,42,198,1154,2457,12198,14576,33,27,39,25,coli
Seq2,2580,0,2437,2318,2278,2096,1036,16,2516,2746,2700,2650,
Seq3,2495,1,2256,1644,1747,1319,604,20,1477,1642,1893,2125,
Seq4,852,0,1067,962,936,626,377,9,1028,1008,1159,1148,
Seq5,297,0,349,291,302,231,103,0,306,335,323,345,
Seq6,312,0,252,181,230,145,125,12,249,274,281,259,
Seq7,240,0,242,174,191,162,101,11,192,223,234,223,
Seq8,192,0,236,182,183,181,83,0,225,209,236,261,
Seq9,183,0,225,206,166,159,69,1,201,240,236,240,
Seq10,179,0,212,180,176,193,146,2,150,199,173,158,
Seq11,143,0,171,118,116,141,120,6,222,250,195,182,
Seq12,220,0,212,181,174,118,58,4,166,167,179,174,
Seq13,155,0,170,137,158,213,136,28,117,154,202,167,
Seq14,86,0,121,98,130,105,119,4,77,114,144,100,
Seq15,101,0,132,84,92,111,38,0,93,114,176,107,
Seq16,99,0,114,76,92,69,60,0,104,135,93,97,
Seq17,122,0,129,117,120,129,97,0,39,69,59,47,
Seq18,99,0,85,78,89,97,40,0,84,106,81,75,
Seq19,118,0,109,104,80,63,28,1,50,84,83,99,
Seq20,72,0,67,81,83,78,78,11,60,104,93,80,
Seq21,62,0,100,105,74,99,82,0,43,78,71,66,
Seq22,89,0,69,66,71,54,51,3,70,74,92,94,
Seq23,97,0,101,86,82,36,21,0,50,60,81,80,
Seq24,47,0,71,52,73,50,43,0,97,88,72,85,
Seq25,64,0,75,60,82,39,35,0,60,98,80,81,
Seq26,69,0,78,76,60,56,23,0,71,66,87,76,
Seq27,48,0,79,66,73,40,44,0,60,79,94,74,
Seq28,55,0,61,55,68,41,33,7,67,84,80,58,
Seq29,58,0,84,57,57,48,16,0,49,69,61,70,
Seq30,89,0,77,62,74,49,19,0,31,37,54,74,
Seq31,39,0,68,55,59,42,16,0,56,70,60,88,
Seq32,76,0,56,36,43,48,0,0,58,60,60,68,
Seq33,58,0,56,53,62,40,32,0,40,64,48,43,
Seq34,52,0,61,38,40,50,17,0,52,60,55,65,
Seq35,37,0,54,46,48,39,16,0,49,57,57,60,
Seq36,47,0,80,47,45,33,16,3,25,42,52,45,
Seq37,50,0,51,47,43,19,19,0,37,54,54,51,
Seq38,59,0,45,43,51,39,15,0,38,50,36,45,
Seq39,50,0,44,33,57,41,50,0,37,39,37,33,
Seq40,43,0,51,35,44,23,16,0,34,49,52,54,
