,mgfeces,added_std,added_std_per_mg,Velution,dilutionfactor,added_Coli
oz1802-1,11.2,2.78E+07,2.48E+06,100,100,0
oz1802-2,10.2,2.78E+07,2.72E+06,100,100,0
oz1802-3,12.4,2.78E+07,2.24E+06,100,100,0
oz1802-4,13.1,2.78E+07,2.12E+06,100,100,10000000
oz1802-5,9.6,2.78E+07,2.89E+06,100,100,10000000
oz1802-6,11.4,2.78E+07,2.44E+06,100,100,10000000
oz1802-7,12.5,2.78E+07,2.22E+06,100,100,50000000
oz1802-8,9.9,2.78E+07,2.81E+06,100,100,50000000
oz1802-9,9.3,2.78E+07,2.99E+06,100,100,50000000
oz1802-10,13.9,2.78E+07,2.00E+06,100,100,100000000
oz1802-11,13,2.78E+07,2.14E+06,100,100,100000000
oz1802-12,9.7,2.78E+07,2.86E+06,100,100,100000000
oz1802-13,12.7,2.78E+07,2.19E+06,100,100,1000000000
oz1802-14,11.1,2.78E+07,2.50E+06,100,100,1000000000
oz1802-15,16.1,2.78E+07,1.73E+06,100,100,1000000000
oz1802-16,11,,0.00E+00,100,100,0
oz1802-17,9.7,,0.00E+00,100,100,0
oz1802-18,12.8,,0.00E+00,100,100,0
oz1802-19,0,,#DIV/0!,100,100,10000000
oz1802-20,0,2.78E+07,#DIV/0!,100,100,0
oz1802-21,38,2.78E+06,7.31E+04,100,100,0
oz1802-22,55,2.78E+07,5.05E+05,100,100,0
oz1802-23,43,2.78E+08,6.46E+06,100,100,0
oz1802-24,38,1.39E+08,3.65E+06,100,100,0
