"study","status","runtime_seconds","data_source","nonempty_entries","warnings","error","align_samples"
"2013_reyes_procnationalacademyscience_gnotobioticmousehumangutflow","error",1.14,"local",0,"1 of 1 requested study parsers failed. Inspect attr(result, ""audit""). | ","duplicate 'row.names' are not allowed",FALSE
"2016_stammler_microbiome_micehuman","success",0.0809999999999995,"local",7,"","",FALSE
"2017_liu_mbio_penilehivqPCR","success",2.464,"local",7,"","",FALSE
"2017_props_isme_longitudinal","error",0.0410000000000004,"local",0,"1 of 1 requested study parsers failed. Inspect attr(result, ""audit""). | ","Can't select columns that don't exist.
✖ Column `Cell.density.sd (cells/mL` doesn't exist.",FALSE
"2017_sinha_natureBiotec_spikeinhumanfecalreproducibility","error",84.926,"local",0,"1 of 1 requested study parsers failed. Inspect attr(result, ""audit""). | ","missing values in 'row.names' are not allowed",FALSE
"2017_vandeputte_nature_flow","success",14.568,"local",7,"","",FALSE
"2018_piwosz_ismej_spikeinampliconfreshwater","error",0.0259999999999962,"local",0,"1 of 1 requested study parsers failed. Inspect attr(result, ""audit""). | ","Can't rename columns that don't exist.
✖ Column `Run` doesn't exist.",FALSE
"2018_tkacz_microbiome_spikeinamplicon","error",9.786,"local",0,"1 of 1 requested study parsers failed. Inspect attr(result, ""audit""). | ","error in evaluating the argument 'x' in selecting a method for function 'XStringSet': object 'counts_reprocessed' not found",FALSE
"2018_tourlousse_scientificreports_soilsewagespikein","error",0,"local",0,"1 of 1 requested study parsers failed. Inspect attr(result, ""audit""). | ","object 'counts_original' not found",FALSE
"2019_contijoch_elife_multispeciesqPCRshotgunandamplicon","success",9.15100000000001,"local",7,"","",FALSE
"2019_ji_nature_human_soil","error",0.0600000000000023,"local",0,"1 of 1 requested study parsers failed. Inspect attr(result, ""audit""). | ","Can't rename columns that don't exist.
✖ Column `sample name` doesn't exist.",FALSE
"2019_lin_applenvironmicrobiol_16s18smarineecologyflowandspikein","success",4.62900000000002,"local",7,"","",FALSE
"2019_morton_naturecommunications_songbird_oral","success",1.45600000000002,"local",7,"","",FALSE
"2019_vieirasilva_naturemicrobiology_pscibd","success",0.135999999999996,"local",7,"Not deleting session-wide tempdir(): /tmp/Rtmpv6Coln","",FALSE
"2020_barlow_naturecommunications_miceGI","success",5.02799999999999,"local",7,"","",FALSE
"2020_ellegaard_currbiology_honeybeeqPCRshotgunmetagenomics","error",0.00100000000000477,"local",0,"1 of 1 requested study parsers failed. Inspect attr(result, ""audit""). | ","object 'tax' not found",FALSE
"2020_galazzo_frontiersincellularandinfectionmicrobiology_flowqPCRddPCRhealthy","success",1.39500000000001,"local",7,"There were 2 warnings in `mutate()`.
The first warning was:
ℹ In argument: `across(-Sample_name, as.numeric)`.
Caused by warning:
! NAs introduced by coercion
ℹ Run `dplyr::last_dplyr_warnings()` to see the 1 remaining warning.","",FALSE
"2020_regalado_isme_metagenomicsbacteriaandfungalsequencing","error",0.00899999999998613,"local",0,"1 of 1 requested study parsers failed. Inspect attr(result, ""audit""). | ","object 'metadata_16s_zip' not found",FALSE
"2020_tettamantiboshier_msystems_vaginaltimeseries","success",4.03900000000002,"local",7,"","",FALSE
"2020_vieirasilva_nature_BMIS","error",0.314999999999998,"local",0,"1 of 1 requested study parsers failed. Inspect attr(result, ""audit""). | ","attempt to select less than one element in get1index",FALSE
"2020_zemb_microOpen_spike","success",0.519000000000005,"local",7,"","",FALSE
"2021_barlow_microbiome_reimaginestudypatientsddpcr","error",0.0400000000000205,"local",0,"1 of 1 requested study parsers failed. Inspect attr(result, ""audit""). | ","Can't rename columns that don't exist.
✖ Column `Run` doesn't exist.",FALSE
"2021_forslund_nature_metacardis","error",0.0349999999999966,"local",0,"1 of 1 requested study parsers failed. Inspect attr(result, ""audit""). | ","object 'sra_list' not found",FALSE
"2021_liao_scientificdata_longitudinalmicrobiomeqpcr_allohct","success",72.164,"local",7,"","",FALSE
