"output_name","study","core_structure","align_samples","source_artifact"
"Vandeputte2021","2021_vandeputte_naturecommunications_flow_timeseries","LIST={original = DATAFRAME(873 x 194), reprocessed = LIST={rdp19 = NULL, rdp16 = NULL}} || LIST={original = DATAFRAME(873 x 194), reprocessed = LIST={rdp19 = NULL, rdp16 = NULL}} || LIST={original = DATAFRAME(222 x 7), reprocessed = LIST={rdp19 = NULL, rdp16 = NULL}} || DATAFRAME(873 x 4) || DATAFRAME(873 x 33)",TRUE,"datasetsfromrepo_validation.RData"
"CvandeVelde2022","2022_cvandevelde_ismecommunications_culturedflowhumanfecal","LIST={original = DATAFRAME(27 x 6), reprocessed = LIST={rdp19 = DATAFRAME(132 x 2), rdp16 = DATAFRAME(132 x 2)}} || LIST={original = DATAFRAME(27 x 6), reprocessed = LIST={rdp19 = DATAFRAME(132 x 2), rdp16 = DATAFRAME(132 x 2)}} || LIST={original = DATAFRAME(6 x 1), reprocessed = LIST={rdp19 = DATAFRAME(134 x 7), rdp16 = DATAFRAME(134 x 7)}} || DATAFRAME(27 x 3) || DATAFRAME(27 x 7)",TRUE,"datasetsfromrepo_validation.RData"
"Vandeputte2017","2017_vandeputte_nature_flow","LIST={original = LIST={rdp19 = DATAFRAME(135 x 193), rdp16 = DATAFRAME(135 x 140)}, nishijima2024 = DATAFRAME(95 x 166), reprocessed = LIST={rdp19 = DATAFRAME(135 x 334), rdp16 = DATAFRAME(135 x 222)}} || LIST={original = LIST={rdp19 = DATAFRAME(135 x 193), rdp16 = DATAFRAME(135 x 140)}, nishijima2024 = DATAFRAME(95 x 166), reprocessed = LIST={rdp19 = DATAFRAME(135 x 334), rdp16 = DATAFRAME(135 x 222)}} || LIST={original = LIST={rdp19 = DATAFRAME(2041 x 14), rdp16 = DATAFRAME(2041 x 7)}, nishijima2024 = DATAFRAME(166 x 1), reprocessed = LIST={rdp19 = DATAFRAME(5173 x 7), rdp16 = DATAFRAME(5173 x 7)}} || DATAFRAME(321 x 11) || DATAFRAME(321 x 56)",TRUE,"datasetsfromrepo_validation.RData"
"Pereira2023","2023_pereira_nature_nervous","LIST={original = LIST={rdp19 = DATAFRAME(107 x 207), rdp16 = DATAFRAME(107 x 144)}, reprocessed = LIST={rdp19 = DATAFRAME(54 x 132), rdp16 = DATAFRAME(54 x 98)}} || LIST={original = LIST={rdp19 = DATAFRAME(107 x 207), rdp16 = DATAFRAME(107 x 144)}, reprocessed = LIST={rdp19 = DATAFRAME(54 x 132), rdp16 = DATAFRAME(54 x 98)}} || LIST={original = LIST={rdp19 = DATAFRAME(2813 x 9), rdp16 = DATAFRAME(2813 x 9)}, reprocessed = LIST={rdp19 = DATAFRAME(1068 x 7), rdp16 = DATAFRAME(1068 x 7)}} || DATAFRAME(107 x 4) || DATAFRAME(165 x 58)",TRUE,"datasetsfromrepo_validation.RData"
"Krawczyk2022","2022_krawczyk_microbiome_tickgeographicaldistributionqpcr","LIST={original = LIST={rdp19 = DATAFRAME(131 x 815), rdp16 = DATAFRAME(131 x 716)}, reprocessed = LIST={rdp19 = DATAFRAME(131 x 809), rdp16 = DATAFRAME(131 x 678)}} || LIST={original = LIST={rdp19 = DATAFRAME(131 x 815), rdp16 = DATAFRAME(131 x 716)}, reprocessed = LIST={rdp19 = DATAFRAME(131 x 809), rdp16 = DATAFRAME(131 x 678)}} || LIST={original = LIST={rdp19 = DATAFRAME(5098 x 17), rdp16 = DATAFRAME(5098 x 17)}, reprocessed = LIST={rdp19 = DATAFRAME(11346 x 7), rdp16 = DATAFRAME(11346 x 7)}} || DATAFRAME(131 x 4) || DATAFRAME(133 x 45)",TRUE,"datasetsfromrepo_validation.RData"
"Liao2021","2021_liao_scientificdata_longitudinalmicrobiomeqpcr_allohct","LIST={original = DATAFRAME(3319 x 512), reprocessed = LIST={rdp19 = DATAFRAME(3318 x 796), rdp16 = DATAFRAME(3318 x 581)}} || LIST={original = DATAFRAME(3319 x 512), reprocessed = LIST={rdp19 = DATAFRAME(3318 x 796), rdp16 = DATAFRAME(3318 x 581)}} || LIST={original = DATAFRAME(512 x 1), reprocessed = LIST={rdp19 = DATAFRAME(86526 x 8), rdp16 = DATAFRAME(59123 x 8)}} || DATAFRAME(3320 x 3) || DATAFRAME(12546 x 9)",TRUE,"datasetsfromrepo_validation.RData"
"Stammler2016","2016_stammler_microbiome_micehuman","LIST={original = DATAFRAME(35 x 59), reprocessed = LIST={rdp19 = NULL, rdp16 = NULL}} || LIST={original = DATAFRAME(35 x 59), reprocessed = LIST={rdp19 = NULL, rdp16 = NULL}} || LIST={original = DATAFRAME(59 x 1), reprocessed = LIST={rdp19 = NULL, rdp16 = NULL}} || DATAFRAME(36 x 4) || DATAFRAME(76 x 46)",TRUE,"datasetsfromrepo_validation.RData"
"Dreier2022","2022_dreier_bmcmicrobiology_cheeseqpcr","LIST={original = LIST={rdp19 = DATAFRAME(21 x 30), rdp16 = DATAFRAME(21 x 27)}, reprocessed = LIST={rdp19 = DATAFRAME(21 x 23), rdp16 = DATAFRAME(21 x 16)}} || LIST={original = LIST={rdp19 = DATAFRAME(21 x 30), rdp16 = DATAFRAME(21 x 27)}, reprocessed = LIST={rdp19 = DATAFRAME(21 x 23), rdp16 = DATAFRAME(21 x 16)}} || LIST={original = LIST={rdp19 = DATAFRAME(350 x 10), rdp16 = DATAFRAME(350 x 7)}, reprocessed = LIST={rdp19 = DATAFRAME(182 x 7), rdp16 = DATAFRAME(182 x 7)}} || DATAFRAME(25 x 12) || DATAFRAME(21 x 33)",TRUE,"datasetsfromrepo_validation.RData"
"Marotz2021","2021_marotz_mSystems_oral_mouthwash","LIST={original = DATAFRAME(137 x 140), reprocessed = LIST={rdp19 = DATAFRAME(712 x 408), rdp16 = DATAFRAME(712 x 309)}} || LIST={original = DATAFRAME(137 x 140), reprocessed = LIST={rdp19 = DATAFRAME(712 x 408), rdp16 = DATAFRAME(712 x 309)}} || LIST={original = DATAFRAME(340 x 9), reprocessed = LIST={rdp19 = DATAFRAME(3093 x 8), rdp16 = DATAFRAME(3093 x 8)}} || LIST={original = DATAFRAME(147 x 12), reprocessed = DATAFRAME(810 x 35)} || LIST={original = DATAFRAME(147 x 43), reprocessed = DATAFRAME(810 x 190)}",TRUE,"datasetsfromrepo_validation.RData"
"Vieira_Silva2019","2019_vieirasilva_naturemicrobiology_pscibd","LIST={original = NULL, reprocessed = LIST={rdp19 = NULL, rdp16 = NULL}} || LIST={original = DATAFRAME(160 x 303), reprocessed = LIST={rdp19 = NULL, rdp16 = NULL}} || LIST={original = DATAFRAME(303 x 1), reprocessed = LIST={rdp19 = NULL, rdp16 = NULL}} || DATAFRAME(173 x 4) || DATAFRAME(173 x 12)",TRUE,"datasetsfromrepo_validation.RData"
"Contijoch2019","2019_contijoch_elife_multispeciesqPCRshotgunandamplicon","LIST={original = LIST={amplicon = NULL, shotgun = NULL}, reprocessed = LIST={amplicon = LIST={rdp19 = DATAFRAME(1629 x 685), rdp16 = DATAFRAME(1629 x 479)}, shotgun = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(15 x 181)}}} || LIST={original = LIST={amplicon = NULL, shotgun = NULL}, reprocessed = LIST={amplicon = LIST={rdp19 = DATAFRAME(1629 x 685), rdp16 = DATAFRAME(1629 x 479)}, shotgun = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(15 x 181)}}} || LIST={original = LIST={amplicon = NULL, shotgun = NULL}, reprocessed = LIST={amplicon = LIST={rdp19 = DATAFRAME(13562 x 7), rdp16 = DATAFRAME(13562 x 7)}, shotgun = LIST={mOTU3 = NULL, MetaPhlAn4 = DATAFRAME(577 x 9)}}} || LIST={amplicon = DATAFRAME(1629 x 3), shotgun = DATAFRAME(15 x 3)} || LIST={amplicon = DATAFRAME(1629 x 57), shotgun = DATAFRAME(15 x 40)}",TRUE,"datasetsfromrepo_validation.RData"
