dataset_name,sequencingtype,trainingset,classifier,loadtype,file_path,loadcol,sampleIDcol,source_type,abundance,organismtype,sampletype,covariate1,covariate2,covariate3,covariate4,covariate5,covariate6,covariate7
Vandeputte2021 (MLP Training data),16S rRNA,,,Flow Cytometry,processedandfinalcomparisons/Vandeputte2021_scale.csv,Cell_count_per_gram,Sample_ID,Measured,total,Human,Fecal,,,,,,,
VandeVelde2022,16S rRNA,,,Flow Cytometry,processedandfinalcomparisons/VandeVelde2022_scale.csv,load,sampleID,Measured,total,Human,Fecal Cultures,,,,,,,
Pereira2023,16S rRNA,,,Flow Cytometry,processedandfinalcomparisons/Pereira2023_scale.csv,Cells.mL,Sequencing.sample.ID,Measured,total,Human,Fecal,,,,,,,
Krawczyk2022,16S rRNA,,,qPCR,processedandfinalcomparisons/Krawczyk2022_scale.csv,X16S.rRNA.content.in.ng.µL,Sample.ID,Measured,total,Tick,Whole organism,,,,,,,
Liao2021,16S rRNA,,,qPCR,processedandfinalcomparisons/Liao2021_scale.csv,qPCR16S,SampleID,Measured,total,Human,Fecal,,,,,,,
Stammler2016,16S rRNA,,,qPCR,processedandfinalcomparisons/Stammler2016_scale.csv,X16S.rDNA.copies.per.sample,SampleID,Measured,total,Mice,Fecal,,,,,,,
Vandeputte2021 (MLP Training data),16S rRNA,Vandeputte2021,rdp,Flow Cytometry,processedandfinalcomparisons/Vandeputte2021_predicted16s.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Vandeputte2017,16S rRNA,Vandeputte2021,rdp,Flow Cytometry,processedandfinalcomparisons/Vandeputte2017_predicted16s.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
VandeVelde2022,16S rRNA,Vandeputte2021,rdp,Flow Cytometry,processedandfinalcomparisons/VandeVelde2022_predicted16s.csv,load,sample.ID,Predicted,total,Human,Fecal Cultures,,,,,,,
Pereira2023,16S rRNA,Vandeputte2021,rdp,Flow Cytometry,processedandfinalcomparisons/Pereira2023_predicted16s.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Dreier2022,16S rRNA,Vandeputte2021,rdp,qPCR,processedandfinalcomparisons/Dreier2022_predicted16s.csv,load,sample.ID,Predicted,total,Cheese,Cheese,,,,,,,
Krawczyk2022,16S rRNA,Vandeputte2021,rdp,qPCR,processedandfinalcomparisons/Krawczyk2022_predicted16s.csv,load,sample.ID,Predicted,total,Tick,Whole organism,,,,,,,
Liao2021,16S rRNA,Vandeputte2021,rdp,qPCR,processedandfinalcomparisons/Liao2021_predicted16s.csv,load,sample.ID,Predicted,total,Human,Fecal,,,,,,,
Stammler2016,16S rRNA,Vandeputte2021,rdp,qPCR,processedandfinalcomparisons/Stammler2016_predicted16s.csv,load,sample.ID,Predicted,total,Mice,Fecal,,,,,,,
Vandeputte2021 (MLP Training data),16S rRNA,,,Flow Cytometry,counts/Vandeputte_2021_16S.csv,,,,counts,Human,Fecal,,,,,,,
Vandeputte2017,16S rRNA,,,Flow Cytometry,counts/Vandeputte_2017_16S.csv,,,,counts,Human,Fecal,,,,,,,
Vandeputte2017,16S rRNA,Vandeputte2021,rdp,Flow Cytometry,processedandfinalcomparisons/Vandeputte2017_scale.csv,count,ENA_ID,Measured,total,Human,Fecal,,,,,,,
VandeVelde2022,16S rRNA,,,Flow Cytometry,counts/VandeVelde_2022_16S.csv,,,,counts,Human,Fecal Cultures,,,,,,,
