study,parser_file
2013_reyes_procnationalacademyscience_gnotobioticmousehumangutflow,p001.R
2016_stammler_microbiome_micehuman,p002.R
2017_liu_mbio_penilehivqPCR,p003.R
2017_props_isme_longitudinal,p004.R
2017_sinha_natureBiotec_spikeinhumanfecalreproducibility,p005.R
2017_vandeputte_nature_flow,p006.R
2018_piwosz_ismej_spikeinampliconfreshwater,p007.R
2018_tkacz_microbiome_spikeinamplicon,p008.R
2018_tourlousse_scientificreports_soilsewagespikein,p009.R
2019_contijoch_elife_multispeciesqPCRshotgunandamplicon,p010.R
2019_ji_nature_human_soil,p011.R
2019_lin_applenvironmicrobiol_16s18smarineecologyflowandspikein,p012.R
2019_morton_naturecommunications_songbird_oral,p013.R
2019_vieirasilva_naturemicrobiology_pscibd,p014.R
2020_barlow_naturecommunications_miceGI,p015.R
2020_ellegaard_currbiology_honeybeeqPCRshotgunmetagenomics,p016.R
2020_galazzo_frontiersincellularandinfectionmicrobiology_flowqPCRddPCRhealthy,p017.R
2020_regalado_isme_metagenomicsbacteriaandfungalsequencing,p018.R
2020_tettamantiboshier_msystems_vaginaltimeseries,p019.R
2020_vieirasilva_nature_BMIS,p020.R
2020_zemb_microOpen_spike,p021.R
2021_barlow_microbiome_reimaginestudypatientsddpcr,p022.R
2021_forslund_nature_metacardis,p023.R
2021_liao_scientificdata_longitudinalmicrobiomeqpcr_allohct,p024.R
2021_mancabelli_applenvironmicrobiology_chickenfecalhumanvaginalshotgunflow,p025.R
2021_mancabelli_appliedenvironmentalmicrobiology_childrenantibiotictherapyflowfecal,p026.R
2021_marotz_mSystems_oral_mouthwash,p027.R
2021_ott_environmentalmicrobiome_riverwater,p028.R
2021_rao_nature_mkspikeseqmetagenomicmultiplescalequantification,p029.R
2021_reese_cell_chimpanzee,p030.R
2021_rolling_naturemicrobiology_allohct_ITS_16s,p031.R
2021_vallescolomer_naturemicrobiology_femalebloodlinefamilialmicrobiome,p032.R
2021_vandeputte_naturecommunications_flow_timeseries,p033.R
2022_cvandevelde_ismecommunications_culturedflowhumanfecal,p034.R
2022_dreier_bmcmicrobiology_cheeseqpcr,p035.R
2022_fromentin_naturemedicine_metacardissubset,p036.R
2022_jin_natureComm_technicalReplicates,p037.R
2022_krawczyk_microbiome_tickgeographicaldistributionqpcr,p038.R
2022_suriano_aps_micefecal,p039.R
2022_zaramela_msystems_synDNA,p040.R
2023_feng_imetawiley_chickensegment,p041.R
2023_fu_imeta_wasterwater_pathogens,p042.R
2023_galla_scientificreports_spikeinmockvariousorganismssampletypes,p043.R
2023_kallastu_research_foodscience_food,p044.R
2023_maghini_naturebiotechnology_samplemesurement,p045.R
2023_pereira_nature_nervous,p046.R
2024_alessandri_microbbiotechnology_pcosvaginalmicrobiota,p047.R
2024_caenepeel_gastroenterology_IBD_CD_flow,p048.R
2024_garciamartinez_bmcmicrobiology_ckdanddysbiosiswithserum,p049.R
2024_jin_pnas_semen,p050.R
2024_kruger_scientificreports_ddpcrhealthysubjects,p051.R
2024_nishijima_cell_galaxy,p052.R
2024_prochazkova_naturemicrobiology_longitudinalhealthyflowfecal,p053.R
2024_sternes_frontmicrobiol_IBDppiqPCR,p054.R
2024_tunsakul_peerj_aerobicvsanaerobicinhealthyvsobesity,p055.R
2025_thiruppathy_microbiome_relicDNAflow,p056.R
2025_wagner_frontiersinmiccrobiology_flowpiglets,p057.R
